mp3_file,txt_file,text,transcript,WER
noella_1_1.mp3,noella_1_1.txt,"Ubusanzwe iyo mu Kinyarwanda bavuze ngo umuntu ni umugabo byumvikana ko afite ibitekerezo bizima, yihesha agaciro, afite indangagaciro zo kwanga ikibi agashyira imbere icyiza. Bikaba akarusho noneho iyo koko ari umugabo wubatse, wabyaye, kuko aba atoza abe kugenza atyo.",ubusanzwe iyo mu kinyarwanda bavuze ngo umuntu ni umugabo byumvikana ko afite ibitekerezo bizima yiheshe agaciro afite indangagaciro zo kwanga ikibi agashyira imbere icyiza bikabakarusha noneho iyo koko ari umugabo wubatse wabyaye kuko abatoza be kugenza bari,0.3076923076923077
noella_1_2.mp3,noella_1_2.txt,Muri iki gihe hari ikibazo cyabangavu bari gusambanywa bagaterwa inda imburagihe kandi iyo uganiriye nabo usanga hari benshi baziterwa nabagabo bakuze bakagombye kubabera ababyeyi. Ni ikibazo cyagaragaje umuvuduko uri hejuru mu Rwanda ahagana mu mwaka wibihumbi bibiri na cyumi nakarindwi.,muri iki gihe hari ikibazo cy'abangavubai gusambanywa bagaterwa inda imburagiye kandi uganiriye na bo usangari benshi baziterwa n'abagabo bakuze bakagombye kubabera ababyeyi ni ikibazo cyagaragaje umuvuduka uri hejuru mu rwanda ahagana mu mwaka y'uhumbi bi nyacumiakarinzwi,0.375
noella_1_3.mp3,noella_1_3.txt,Minisiteri yUburinganire nIterambere ryUmuryango itangaza ko mu mwaka wibihumbi bibiri na cumi nakarindwi abangavu batewe inda imburagihe bataragira imyaka cumi numunani yamavuko bagera ku bihumbi cumi nabirindwi namaganatatu namirongo itatu nabarindwi; naho mu mu mwaka w'ibihumbi bibiri na cumi numunani baba ibihumbi cumi n'icyenda namagana inani namirongotatu nababiri.,minisiteri y'buringaniye n'iterambere ry'umuryango itangaza ko mu bihumbi binacumi na karindwi abangavubatewe nda imvura gihe n'abataragiye imyaka cumi munani y'amavuko bagera kuri ibihumbi cumi na birindwi magana atatu namirong itatu nabarindwi naho mu mwaka bibihumbi binacumi n'umunani baba ibihumbi cumi n'icyenda maganinani na mirongo itatu na babiri,0.7291666666666666
noella_1_4.mp3,noella_1_4.txt,"Mu mwaka wibihumbi bibiri na cumi n'icyenda abazitewe barenga ibihumbi makumwabiri nabitatu, mu mwaka wibihumbi bibiri na makumwabiriri imibare yabazitewe yerekana ko bagera ku bihumbi cumi n'icyenda naho mu mwaka wibihumbi bibiri na makumwabiriri narimwe bageze ku bihumbi makumwabiri nabitatu.",mu mwaka bihumbi bin nacumi icyenda abazitewe barenga iihumbi bakumyari na bitatu naho mu mwaka bihumbi bitu makumyabiri na makumyabiri imibare y'abazitewe yerekana ko bagera ku yumba icumi n'icyenda naho mu mwaka y'ibihumbi bi nabakmyari na rimwe bagize ku bihumbi makumyabiri na bitatu,0.65
noella_1_5.mp3,noella_1_5.txt,"Ubuhamya bwa bamwe mu bangavu batewe inda imburagihe bugaragaza ubunyamaswa bwabagabo bagiye babasambanya ku ngufu bakabatera inda, bamwe batitaye ko bangana nabo babyaye.",hamya bwa bamwe mubangavu batewa inda imburagihe bugaragaza ubunyamaswa bw'abagabo bagiye babasambanya ku ngufu bakabatira inda bamwe baititaye ko bangana nabo babyaye,0.391304347826087
noella_1_6.mp3,noella_1_6.txt,Umwangavu wimyaka cumi nitandatu wo mu murenge wa Muganza mu karere ka Gisagara avuga ko yize mu mashuri abanza ageze mu wa kabiri avamo ajya gukora akazi ko mu rugo bitewe nubukene bwari mu rugo rwabo. Iwabo babyaye abana barindwi we ni imfura muri bo.,umwangavuga imyaka cumi n'intandatu wo mu murenge wa muganza mu karere ka gisagara avuga ko gize mu mashuri abanza ageze mu wa kabiri avamo ajya gukora akazi ko mu rugo bitewe n'ubukene bwari murugo rwabo iwabo babyaye abana barindwi we n'imfura mu ribu,0.26666666666666666
noella_1_7.mp3,noella_1_7.txt,Mu buhamya bwe avuga ko yasambanyijwe numugabo wo mu rugo yakoragamo amufashe ku ngufu mu mwaka w'ibihumbi bibiri nacumi nakarindwi.,mu buhamya bwe avuga ko yasambanyijwe n'umugabo wo murugo yakoragamo amufashe ku ngufu muri ibi binacumi na karindwi,0.45
noella_1_8.mp3,noella_1_8.txt,Ati Kubera ko iwacu turi abakene nagiye gukora akazi ko mu rugo kugira ngo njye mbona ibyo kurya. Twakundaga gusigarana mu rugo akansambanya ku ngufu akambwira ngo nimbivuga azanyica.,ati kuwera ko iwacu turi abakene nagiye gukora akazi ko murugo kugira ngo njye mbona ibyo kurya twakundaga gusigarana mu rugo akansambanya ku ngufu akambwiya ngo ni imbivuga azanyica,0.27586206896551724
noella_1_9.mp3,noella_1_9.txt,Avuga ko ikimubabaza ari uko bakimara kumenya ko atwite bahise bamwirukana asubira iwabo mu buzima bwa gikene. Aganira na IGIHE yari ahetse umwana wamezi ane. Ababazwa nuko uwo mugabo nta kintu na kimwe amufasha mu kurera uwo mwana.,avuga ko ikimubabaza ari uko bakimara kumenya ko atwite bahise bamwirukana asubira iwabo mubuzima bwa gikene aganirana igihe thotcom yari ahetse umwana w'amezi ani abazwa nuko umugabo nta kintu kimwe amufasha mu kurera uwo mwana,0.34210526315789475
noella_1_10.mp3,noella_1_10.txt,Undi mwangavu wahaye ubuhamya IGIHE ni uwo mu Karere ka Kayonza; yagaragaje ko yasambanywaga numwarimu umwigisha mu mashuri abanza mu mwaka wibihumbi bibiri nacumi numunani.,undi mwangavu wahaye ubuhamya igihe nuwo mu karere ka kayeyonza yagaragaje ko yasambanyaga n'umwarimu umwigisha mu mashuri abanza muri bibirira cumi n'umunani,0.44
